,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,KT m2/cánh nhỏ hơn 0.35m2 thì tính = 0.35m2
0,,,,,,,BÁO GIÁ CÁNH KÍNH,,,,,,,,
1,,,,,,,Ngày 22 tháng 6 năm 2026,,,,,,Ngày giờ chốt đơn:,2026-06-22 16:55:00,
2,,,,,,,Số phiếu: ,,,,,,Số ngày phải giao từ lúc chốt đơn:,5,
3,,Khách hàng: KH0927 - CK T.Home CX,,,,,,,,,,,Ngày giờ phải giao hàng:,2026-06-27 16:55:00,
4,,"Địa chỉ: Cẩm Xuyên, Hà Tĩnh (Mr.Linh:0979130143)",,,,,,,,,,,,,
5,"Lời đầu tiên, xin trân trọng cảm ơn quý khách hàng đã quan tâm đến sản phẩm cánh kính của công ty chúng tôi. GERVIN xin gửi tới Quý Khách hàng bảng báo giá chi tiết như sau:",,,,,,,,,,,,,,
6,STT,TÊN SẢN PHẨM,MÃ SP,CHIỀU MỞ CÁNH,MÀU NHÔM,MÀU KÍNH,KÍCH THƯỚC CÁNH,,ĐƠN VỊ,SỐ LƯỢNG CÁNH,KHỐI LƯỢNG (m2),ĐƠN GIÁ,THÀNH TIỀN,Ghi chú,
7,,,,,,,Dài (mm),Rộng (mm),,,,,,,
8,"GIÁ CÁNH KÍNH, KHUNG NHÔM HOÀN THIỆN:",,,,,,,,,,,,,,
9,I.,Cánh Kính màu 1,,,,,,,,1,1.188,,,,
10,1,"- Kính: 5mm cường lực
- Khung Nhôm: Công nghệ mạ Anode, định hình bản nhôm 21x22mm dày 1.8mm 
- Tay nắm vuông 1m1 cách mép dưới lên 100mm
- Vị trí lề: Như hình vẽ",GK06,1 mở trái,Café,Xám khói,2970,400,cánh,1,1.188,1350000,1603800,,1.188
11,2,Bản lề ,,,,,,,cái,6,,20000,120000,,
12,,,,,,,,,,,TỔNG CỘNG:,,1724000,,
13,,,,,,,,,,,,Đơn GV05,9013000,,
14,,,,,,,,,,,,Đơn GV124,7107000,,
