0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Trả ván DC và chỉ thừa cho khách,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BÁO GIÁ KIÊM ĐƠN ĐẶT HÀNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ngày 18 tháng 6 năm 2026,,,,,,,,Ngày giờ chốt đơn:,2026-06-18 16:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Số phiếu: ,0118,,,,,,,Số ngày phải giao từ lúc chốt đơn:,5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Khách hàng: KH1188 - Thái Nguyễn,,,,,,,,,,,,,Ngày giờ phải giao hàng:,2026-06-23 16:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Địa chỉ: TP.Vinh, Nghệ An (0948.993.337)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Công ty TNHH Gỗ GERVIN xin cảm ơn quý khách hàng đã tin dùng sản phẩm của chúng tôi và xin được báo giá như sau:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chi tiết,Stt,Mã hàng,"Tên hàng hóa, dịch vụ", Kích thước (mm) ,,Số lượng,Cạnh vát,Dán cạnh,,,,Số mét dán thẳng,Số mét dán vát,Số mét dán bản rộng 25-35mm,Số mét dán ván chiều rộng 40-59mm,Số mét dán bản rộng 17-39mm,Ghi chú,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cao (chiều vân gỗ) ,Rộng,,,Cao,Cao,Rộng,Rộng,,,,,,,Chiều vân,,,,,,,,,,,,,,,,,,,,,,,,,
CT,A,,VẬT TƯ,,,24,,,,,,45.102,8.033999999999999,0,0,0,,Vát ,,,,,,,,,,,,,,,,,,,,,,,,,
